time,gFx,gFy,gFz,gFTotal
0.0862131118774414,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.0864100456237793,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.0865941047668457,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.08677291870117188,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.08695101737976074,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.08712601661682129,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.08730316162109375,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.0874781608581543,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.08765316009521484,0.99072265625,0.050384521484375,-0.15789794921875,1.004
0.09364199638366699,0.991485595703125,0.0545654296875,-0.158660888671875,1.006
0.10350799560546875,0.991119384765625,0.0540771484375,-0.1609649658203125,1.006
0.11375999450683594,0.9891357421875,0.055450439453125,-0.16094970703125,1.004
0.1232149600982666,0.98968505859375,0.0559234619140625,-0.160614013671875,1.004
0.13332700729370117,0.98980712890625,0.055023193359375,-0.163818359375,1.005
0.14329290390014648,0.9912872314453125,0.0568695068359375,-0.16845703125,1.007
0.1532731056213379,0.989654541015625,0.0564727783203125,-0.169952392578125,1.006
0.16324806213378906,0.98931884765625,0.054931640625,-0.170318603515625,1.005
0.173004150390625,0.98944091796875,0.0562744140625,-0.1693878173828125,1.005
0.18267393112182617,0.9897308349609375,0.053497314453125,-0.17138671875,1.006
0.19267702102661133,0.986083984375,0.04888916015625,-0.1714324951171875,1.002
0.20277690887451172,0.9838409423828125,0.0478668212890625,-0.169342041015625,0.999
0.21271085739135742,0.9886322021484375,0.046722412109375,-0.1693115234375,1.004
0.22404193878173828,0.9938201904296875,0.0466461181640625,-0.1665802001953125,1.009
0.23438405990600586,0.9933929443359375,0.0456390380859375,-0.1671600341796875,1.008
0.24437189102172852,0.9928131103515625,0.044281005859375,-0.166107177734375,1.008
0.25426602363586426,1.0033111572265625,0.03558349609375,-0.1433258056640625,1.014
0.26468896865844727,1.00079345703125,0.0264892578125,-0.140289306640625,1.011
