time,gFx,gFy,gFz,gFTotal
0.008664131164550781,0.030181884765625,0.9769287109375,-0.1611175537109375,0.991
0.015150070190429688,0.031036376953125,0.9774322509765625,-0.1860504150390625,0.995
0.025232791900634766,0.031402587890625,0.97674560546875,-0.1912994384765625,0.996
0.035243988037109375,0.032867431640625,0.9773406982421875,-0.174163818359375,0.993
0.045031070709228516,0.042449951171875,0.980621337890625,-0.161468505859375,0.995
0.05488395690917969,0.046600341796875,0.9810943603515625,-0.1945343017578125,1.001
0.06459593772888184,0.0462646484375,0.97979736328125,-0.1827392578125,0.998
0.07727909088134766,0.0505828857421875,0.981353759765625,-0.17535400390625,0.998
0.08476996421813965,0.0529632568359375,0.98046875,-0.182647705078125,0.999
0.0947871208190918,0.0597076416015625,0.9824066162109375,-0.1799774169921875,1.001
0.10473108291625977,0.0703125,0.9839324951171875,-0.1702117919921875,1.001
0.1175680160522461,0.0766754150390625,0.984283447265625,-0.1686859130859375,1.002
0.12712383270263672,0.07135009765625,0.982208251953125,-0.1674957275390625,0.999
0.13691091537475586,0.062652587890625,0.982421875,-0.1686859130859375,0.999
0.14417409896850586,0.0570526123046875,0.9825592041015625,-0.1688079833984375,0.999
0.15441179275512695,0.04681396484375,0.98101806640625,-0.162200927734375,0.995
0.16743707656860352,0.0379180908203125,0.979583740234375,-0.15899658203125,0.993
0.17623496055603027,0.0328826904296875,0.978240966796875,-0.1657257080078125,0.993
0.18706083297729492,0.0290679931640625,0.9763336181640625,-0.1715850830078125,0.992
0.19423484802246094,0.036346435546875,0.9767913818359375,-0.1712799072265625,0.992
0.20600390434265137,0.0455780029296875,0.9782867431640625,-0.1714019775390625,0.994
0.21356582641601562,0.0555877685546875,0.9808502197265625,-0.174468994140625,0.998
0.22655797004699707,0.0686798095703125,0.983245849609375,-0.178619384765625,1.002
0.23684096336364746,0.06939697265625,0.9826507568359375,-0.17462158203125,1.0
0.2437601089477539,0.062225341796875,0.981903076171875,-0.1728363037109375,0.999
0.25597095489501953,0.05865478515625,0.9804229736328125,-0.1765594482421875,0.998
0.26332998275756836,0.052398681640625,0.9776763916015625,-0.1828155517578125,0.996
0.2757411003112793,0.04669189453125,0.97454833984375,-0.1857452392578125,0.993
0.2834939956665039,0.0560455322265625,0.9779052734375,-0.181396484375,0.996
0.29363012313842773,0.2367095947265625,1.007232666015625,-0.132354736328125,1.043
0.3074378967285156,0.2259979248046875,1.0121002197265625,-0.0733642578125,1.04
0.3129091262817383,0.1590423583984375,1.00433349609375,-0.1261138916015625,1.025
0.32521891593933105,0.078857421875,0.9834442138671875,-0.209381103515625,1.009
0.3355278968811035,0.0161285400390625,0.9665679931640625,-0.2415008544921875,0.996
0.3429689407348633,-0.0001678466796875,0.9656524658203125,-0.219146728515625,0.99
0.35727500915527344,-0.0134429931640625,0.970672607421875,-0.1959075927734375,0.99
0.36258602142333984,-0.024658203125,0.9706573486328125,-0.206268310546875,0.993
0.3728759288787842,0.031768798828125,0.9754180908203125,-0.1795501708984375,0.992
0.38298892974853516,0.0615234375,0.9807586669921875,-0.214874267578125,1.006
0.393129825592041,0.0693359375,0.9882965087890625,-0.1572418212890625,1.003
0.4053609371185303,0.0573272705078125,0.988677978515625,-0.1355438232421875,1.0
0.41492605209350586,0.0438385009765625,0.9871063232421875,-0.132110595703125,0.997
0.4243929386138916,0.0660858154296875,0.9852752685546875,-0.142913818359375,0.998
0.4330179691314697,0.066497802734375,0.981781005859375,-0.15447998046875,0.996
0.44245290756225586,0.0645904541015625,0.98785400390625,-0.150665283203125,1.001
0.4566309452056885,0.0582275390625,0.9889373779296875,-0.135986328125,1.0
0.4623270034790039,0.0550079345703125,0.9850616455078125,-0.1480865478515625,0.998
0.47389984130859375,0.05242919921875,0.981842041015625,-0.155548095703125,0.995
