time,ax,ay,az,atotal
0.037740230560302734,0.03,-0.03,-0.22,0.22
0.03827404975891113,0.08,-0.05,-0.41,0.42
0.038645029067993164,-0.06,0.0,0.15,0.16
0.039008140563964844,-0.05,0.01,0.14,0.14
0.03936409950256348,0.03,-0.01,-0.17,0.17
0.04952812194824219,-0.01,0.01,-0.04,0.04
0.06000709533691406,-0.03,0.0,0.04,0.05
0.07030105590820312,0.01,-0.01,-0.03,0.03
0.08088016510009766,-0.03,-0.01,-0.02,0.03
0.08986806869506836,-0.01,-0.02,-0.05,0.05
0.10040616989135742,-0.02,-0.02,0.0,0.02
0.11047601699829102,-0.01,-0.01,-0.03,0.03
0.12116193771362305,-0.01,-0.01,-0.06,0.06
0.13053417205810547,-0.01,0.0,0.0,0.01
0.1409749984741211,-0.01,0.0,0.02,0.02
0.15137815475463867,0.0,-0.02,-0.06,0.06
0.1611940860748291,-0.01,0.0,-0.02,0.02
0.17179608345031738,-0.02,0.0,-0.02,0.02
0.18105506896972656,-0.02,0.0,-0.02,0.02
0.19135618209838867,-0.02,-0.01,-0.03,0.03
0.20098590850830078,-0.02,0.0,0.0,0.02
0.21067404747009277,-0.01,0.0,-0.02,0.02
0.2212672233581543,-0.01,-0.01,-0.03,0.03
0.2307748794555664,0.0,-0.01,-0.02,0.02
0.2408919334411621,-0.02,0.0,-0.01,0.02
0.2495880126953125,-0.01,-0.01,-0.04,0.04
0.26064395904541016,-0.02,-0.01,-0.02,0.03
0.2720210552215576,-0.02,0.0,-0.01,0.02
0.2805490493774414,-0.02,0.0,-0.03,0.03
0.29041004180908203,-0.02,0.0,-0.03,0.03
0.30030393600463867,-0.01,0.01,-0.01,0.01
0.3102710247039795,-0.01,0.0,-0.02,0.02
0.3202230930328369,-0.01,0.0,-0.03,0.03
0.33028101921081543,-0.02,-0.01,-0.01,0.02
0.34018516540527344,-0.01,-0.01,-0.02,0.02
0.349992036819458,-0.01,-0.01,-0.04,0.04
0.3600430488586426,-0.02,-0.01,-0.03,0.03
0.37000107765197754,-0.02,0.0,-0.01,0.02
0.379925012588501,-0.02,0.0,-0.01,0.02
0.38979506492614746,-0.01,0.0,-0.02,0.02
0.3998589515686035,-0.01,-0.01,-0.03,0.03
0.4093630313873291,-0.01,-0.01,-0.02,0.02
0.41980600357055664,-0.01,-0.02,-0.03,0.03
0.4296889305114746,-0.02,-0.01,-0.01,0.02
0.4394359588623047,-0.02,0.0,-0.02,0.02
0.4494318962097168,-0.01,-0.01,-0.03,0.03
0.459367036819458,-0.01,0.0,-0.01,0.01
0.46915388107299805,-0.01,0.0,-0.02,0.02
0.4789562225341797,-0.01,0.0,-0.02,0.02
0.489016056060791,-0.01,0.0,-0.02,0.02
0.4990980625152588,-0.01,-0.01,-0.03,0.03
0.5089890956878662,-0.02,0.0,-0.03,0.03
0.5192551612854004,-0.02,-0.01,-0.02,0.03
0.5288219451904297,-0.01,0.0,-0.02,0.02
0.5387711524963379,-0.01,0.0,-0.03,0.03
0.5487060546875,-0.02,-0.01,-0.03,0.03
0.5586361885070801,-0.01,-0.01,-0.03,0.03
0.5689711570739746,-0.01,0.0,-0.02,0.02
0.578510046005249,-0.02,0.0,-0.03,0.03
0.5882868766784668,-0.02,-0.01,-0.02,0.03
0.5983760356903076,-0.01,0.0,-0.02,0.02
0.6084380149841309,-0.02,0.0,-0.01,0.02
0.6183090209960938,-0.02,-0.01,-0.02,0.03
0.6280269622802734,-0.01,0.0,-0.03,0.03
0.638275146484375,-0.01,0.0,-0.02,0.02
0.6481099128723145,-0.02,-0.01,-0.02,0.03
0.6579110622406006,-0.01,0.0,-0.01,0.01
0.6679980754852295,-0.02,0.0,-0.03,0.03
0.6777539253234863,-0.01,-0.01,-0.03,0.03
0.688060998916626,-0.01,-0.01,-0.01,0.01
0.6976299285888672,-0.01,-0.01,-0.02,0.02
0.7075591087341309,-0.02,-0.01,-0.02,0.03
0.717505931854248,-0.01,0.0,-0.02,0.02
0.7276029586791992,-0.01,-0.01,-0.02,0.02
0.7375302314758301,-0.01,-0.01,-0.03,0.03
0.7470579147338867,-0.01,-0.01,-0.03,0.03
0.7572140693664551,-0.02,-0.01,-0.01,0.02
0.7671041488647461,-0.01,0.0,-0.02,0.02
0.7770140171051025,-0.01,0.0,-0.02,0.02
0.7869071960449219,-0.02,0.0,-0.01,0.02
0.7970261573791504,-0.01,0.0,-0.03,0.03
0.8068780899047852,-0.01,-0.01,-0.02,0.02
0.8167719841003418,-0.02,0.0,-0.02,0.02
0.8267831802368164,-0.01,-0.01,-0.01,0.01
0.8369312286376953,-0.02,-0.01,-0.02,0.03
0.8465728759765625,-0.01,0.0,-0.03,0.03
0.8566188812255859,-0.01,0.0,-0.02,0.02
0.8665771484375,-0.01,-0.01,-0.03,0.03
0.8763461112976074,-0.01,-0.01,-0.03,0.03
0.8864190578460693,-0.01,-0.02,-0.02,0.03
0.8963541984558105,-0.01,0.0,-0.01,0.01
0.9064450263977051,-0.02,-0.01,-0.02,0.03
0.9162600040435791,-0.02,-0.01,-0.03,0.03
0.9261090755462646,-0.02,0.0,-0.02,0.02
0.9366550445556641,-0.01,0.0,-0.02,0.02
0.9458751678466797,-0.02,-0.01,-0.03,0.03
0.955787181854248,-0.02,0.0,-0.02,0.02
0.9659140110015869,-0.01,-0.01,-0.02,0.02
0.9757089614868164,-0.01,-0.01,-0.03,0.03
0.9855952262878418,-0.02,0.0,-0.03,0.03
0.9956190586090088,-0.01,-0.01,-0.04,0.04
1.0055060386657715,-0.02,-0.01,-0.04,0.04
1.0155019760131836,-0.02,-0.01,-0.02,0.03
1.0252771377563477,-0.01,-0.01,-0.03,0.03
1.0353240966796875,-0.02,-0.01,-0.03,0.03
1.045219898223877,-0.02,-0.01,-0.03,0.03
1.0551950931549072,-0.01,0.0,-0.02,0.02
1.0650930404663086,-0.01,-0.01,-0.02,0.02
1.0750689506530762,-0.02,-0.01,-0.02,0.03
1.0851349830627441,-0.01,-0.01,-0.02,0.02
1.0948851108551025,-0.01,0.0,-0.03,0.03
1.104741096496582,-0.02,-0.01,-0.02,0.03
1.1147642135620117,-0.01,0.0,-0.03,0.03
1.1246120929718018,-0.02,-0.01,-0.03,0.03
1.134645938873291,-0.02,-0.01,-0.01,0.02
1.144313097000122,-0.02,-0.01,-0.02,0.03
1.1544640064239502,-0.02,-0.01,-0.03,0.03
1.1643519401550293,-0.02,-0.01,-0.01,0.02
1.1744980812072754,-0.01,-0.01,-0.02,0.02
1.1842870712280273,-0.01,0.0,-0.02,0.02
