time,ax,ay,az,atotal
0.01399087905883789,0.09,0.15,-0.08,0.19
0.01663684844970703,0.12,0.39,-0.24,0.47
0.025494813919067383,0.14,0.24,-0.09,0.29
0.035888671875,0.07,0.07,0.02,0.1
0.04531097412109375,-0.07,-0.07,0.02,0.1
0.0555567741394043,-0.16,-0.16,0.1,0.24
0.06585073471069336,-0.18,-0.25,0.17,0.35
0.07582569122314453,-0.18,-0.26,0.12,0.33
0.08559679985046387,-0.15,-0.19,0.08,0.25
0.09572076797485352,-0.08,-0.13,0.05,0.16
0.10738682746887207,-0.03,-0.09,0.05,0.1
0.11702775955200195,0.0,-0.11,0.05,0.12
0.12636375427246094,0.0,-0.2,0.07,0.21
0.13524580001831055,0.03,-0.25,0.12,0.27
0.14571285247802734,0.06,-0.25,0.14,0.29
0.1552138328552246,0.09,-0.19,0.13,0.24
0.16457796096801758,0.12,-0.14,0.1,0.2
0.17535877227783203,0.13,-0.12,0.07,0.19
0.18552494049072266,0.17,-0.12,0.14,0.25
0.1948866844177246,0.17,-0.13,0.16,0.26
0.20567798614501953,0.14,-0.14,0.12,0.23
0.21491384506225586,0.13,-0.14,0.14,0.23
0.2258930206298828,0.1,-0.07,0.15,0.19
0.23583579063415527,0.0,0.0,0.08,0.08
0.24578285217285156,-0.06,0.04,0.06,0.09
0.25606489181518555,-0.08,0.03,0.08,0.11
0.2657637596130371,-0.07,-0.01,0.15,0.16
0.27465200424194336,-0.07,-0.02,0.11,0.13
0.2843790054321289,-0.07,-0.03,0.05,0.09
0.2943418025970459,-0.03,0.01,0.06,0.06
0.30515289306640625,0.0,0.07,0.06,0.09
0.3141918182373047,-0.02,0.09,0.04,0.1
0.32553768157958984,-0.05,0.08,0.03,0.09
0.33408379554748535,-0.06,0.07,0.05,0.1
0.34520983695983887,-0.05,0.11,0.07,0.13
0.3552567958831787,-0.05,0.14,0.06,0.16
0.36463189125061035,-0.05,0.2,0.06,0.21
0.3737349510192871,-0.06,0.25,0.02,0.25
0.38406991958618164,-0.07,0.29,-0.02,0.29
0.39467668533325195,-0.09,0.29,-0.03,0.3
0.4036989212036133,-0.09,0.26,-0.05,0.27
0.41455698013305664,-0.08,0.2,-0.06,0.22
0.4247879981994629,-0.05,0.16,-0.06,0.17
0.43418288230895996,0.0,0.16,-0.03,0.16
0.44336390495300293,0.02,0.2,0.0,0.2
0.45289182662963867,0.01,0.26,-0.01,0.26
0.4630608558654785,-0.02,0.28,-0.03,0.28
0.4740109443664551,-0.05,0.27,-0.03,0.27
0.48366880416870117,-0.06,0.26,0.0,0.26
0.4928598403930664,-0.06,0.27,0.05,0.28
0.5044159889221191,-0.1,0.23,0.04,0.25
0.5133168697357178,-0.15,0.17,0.03,0.22
0.5237269401550293,-0.17,0.16,0.08,0.24
0.533390998840332,-0.19,0.17,0.11,0.27
