time,ax,ay,az,atotal
0.04045391082763672,-0.09,0.03,0.08,0.12
0.043792009353637695,-0.02,0.04,0.04,0.06
0.04452991485595703,-0.02,0.0,-0.07,0.07
0.045243024826049805,-0.03,-0.07,-0.1,0.12
0.04594707489013672,-0.02,-0.04,-0.08,0.09
0.047460079193115234,0.0,0.02,-0.1,0.1
0.0579218864440918,-0.01,0.01,-0.12,0.12
0.06763696670532227,-0.02,0.01,-0.06,0.06
0.07758092880249023,-0.03,-0.01,-0.05,0.05
0.08757591247558594,-0.03,0.0,0.01,0.03
0.09882402420043945,-0.05,0.01,0.09,0.1
0.10959696769714355,-0.04,0.02,0.09,0.1
0.11867713928222656,-0.03,0.0,0.04,0.05
0.12947607040405273,-0.03,0.01,0.01,0.03
0.13856005668640137,-0.02,0.02,-0.05,0.05
0.14880895614624023,0.0,0.0,-0.11,0.11
0.15871810913085938,0.0,-0.01,-0.16,0.16
0.16884994506835938,0.01,0.0,-0.1,0.1
0.18041515350341797,0.01,0.01,0.01,0.01
0.1894221305847168,0.04,-0.04,0.01,0.05
0.1996750831604004,0.1,-0.07,0.0,0.12
0.20918512344360352,0.07,-0.05,-0.06,0.1
0.21974897384643555,-0.01,-0.01,-0.03,0.03
0.23013782501220703,-0.09,0.03,0.0,0.09
0.2391979694366455,-0.08,0.04,-0.01,0.09
0.2492990493774414,-0.1,0.06,-0.02,0.11
0.25876402854919434,-0.08,0.05,-0.04,0.1
0.26891613006591797,-0.07,0.03,-0.13,0.15
0.2791881561279297,-0.05,-0.01,-0.12,0.13
0.2886080741882324,-0.01,-0.03,-0.06,0.06
0.29889917373657227,-0.03,-0.01,-0.02,0.03
0.3083930015563965,-0.05,0.0,0.07,0.08
0.3185391426086426,-0.07,0.0,0.14,0.15
0.3288850784301758,-0.1,0.01,0.26,0.27
0.33849287033081055,-0.12,0.01,0.26,0.28
0.3482341766357422,-0.1,0.02,0.31,0.32
0.35861897468566895,-0.11,0.04,0.26,0.28
0.36863088607788086,-0.1,0.03,0.22,0.24
0.3779878616333008,-0.07,0.02,0.11,0.13
0.3880138397216797,-0.03,0.0,-0.08,0.08
0.3978738784790039,0.04,-0.03,-0.27,0.27
0.4079108238220215,0.25,-0.04,-1.35,1.37
0.41767311096191406,-0.13,0.01,0.33,0.35
0.4276390075683594,-0.03,-0.01,0.17,0.17
0.43753504753112793,-0.01,0.02,-0.13,0.13
0.4475820064544678,-0.06,0.0,0.08,0.1
0.4575159549713135,-0.02,-0.03,-0.08,0.08
0.4675259590148926,-0.04,0.01,0.02,0.04
0.47745513916015625,-0.05,0.04,0.0,0.06
0.48723793029785156,-0.01,0.01,-0.02,0.02
0.4974689483642578,-0.05,-0.02,0.0,0.05
0.5075149536132812,-0.03,0.02,-0.01,0.03
0.516542911529541,-0.02,0.02,-0.01,0.03
0.5255630016326904,-0.04,-0.01,0.01,0.04
0.5354580879211426,-0.04,0.0,0.01,0.04
