time,ax,ay,az,atotal
0.07725882530212402,0.04,-0.13,-0.02,0.13
0.0775749683380127,-0.01,-0.06,0.09,0.1
0.07778692245483398,0.05,0.01,0.15,0.15
0.07801699638366699,0.01,0.0,0.15,0.15
0.07822895050048828,-0.02,-0.01,0.1,0.1
0.07842612266540527,0.01,-0.05,0.07,0.08
0.07863211631774902,0.02,0.01,0.07,0.07
0.07883906364440918,-0.03,0.08,0.03,0.09
0.07903695106506348,0.03,0.03,0.01,0.04
0.08582282066345215,-0.01,-0.01,0.07,0.07
0.09531998634338379,-0.03,-0.02,0.09,0.09
0.10538887977600098,0.0,-0.02,0.07,0.07
0.11547994613647461,0.0,-0.02,0.08,0.08
0.12530112266540527,-0.01,-0.02,0.09,0.09
0.13537096977233887,-0.01,-0.07,0.08,0.1
0.14502406120300293,-0.03,-0.14,0.08,0.16
0.15527606010437012,0.0,-0.06,0.1,0.11
0.16512298583984375,-0.01,-0.06,0.14,0.15
0.17495989799499512,-0.01,-0.13,0.14,0.19
0.1857609748840332,0.01,-0.15,0.12,0.19
0.19562196731567383,0.0,-0.04,0.1,0.1
0.2054460048675537,0.01,-0.11,0.1,0.14
0.2153029441833496,0.02,-0.22,0.09,0.23
0.22526812553405762,-0.01,-0.16,0.11,0.19
0.23531413078308105,0.0,-0.13,0.07,0.14
0.24522995948791504,-0.01,-0.27,0.1,0.28
0.2550837993621826,-0.02,-0.3,0.08,0.31
0.2651197910308838,-0.04,-0.18,-0.02,0.18
0.2774040699005127,-0.03,-0.2,-0.13,0.24
0.28728294372558594,-0.05,-0.11,0.0,0.12
0.29743409156799316,0.07,-0.11,0.29,0.31
0.30720090866088867,0.1,-0.23,0.21,0.32
0.315418004989624,0.03,-0.12,0.19,0.22
0.32506799697875977,-0.01,-0.16,-0.02,0.16
0.3345029354095459,-0.11,-0.16,-0.18,0.26
0.34439802169799805,-0.09,-0.14,-0.24,0.29
0.35447192192077637,-0.12,-0.11,-0.44,0.46
0.36442995071411133,0.01,-0.08,0.45,0.45
0.3743250370025635,0.15,-0.31,0.37,0.5
0.3841221332550049,-0.08,0.05,-0.08,0.12
0.39419007301330566,0.04,-0.05,-0.05,0.08
0.4040799140930176,0.02,0.06,0.43,0.43
0.41417384147644043,0.07,-0.04,0.19,0.2
0.42418980598449707,-0.02,0.13,-0.18,0.22
0.4340498447418213,-0.03,0.13,0.02,0.13
0.4439079761505127,-0.01,-0.1,0.23,0.25
0.45381593704223633,-0.03,-0.02,0.08,0.08
0.46668410301208496,0.06,0.15,0.21,0.26
0.47367191314697266,-0.04,0.08,-0.15,0.17
0.4840989112854004,-0.11,0.07,-0.19,0.23
0.4941539764404297,-0.05,0.09,0.09,0.13
0.5039839744567871,0.1,-0.12,0.24,0.28
0.5132439136505127,-0.03,0.1,0.16,0.19
0.5244381427764893,0.11,0.01,0.35,0.36
0.5335118770599365,0.01,-0.01,0.19,0.19
0.5432009696960449,-0.01,0.09,-0.03,0.09
0.5529680252075195,0.02,0.09,0.21,0.22
0.5629470348358154,0.15,-0.11,0.47,0.5
0.5727779865264893,0.0,0.12,0.35,0.37
0.5827958583831787,0.01,0.03,-0.02,0.03
0.5928518772125244,-0.09,0.13,-0.29,0.33
0.6029098033905029,-0.08,0.2,0.05,0.22
0.6125280857086182,0.09,0.18,0.36,0.41
0.6224780082702637,0.05,0.09,0.04,0.11
0.6325438022613525,0.0,0.21,0.08,0.22
0.642340898513794,0.0,0.27,0.16,0.31
0.6522347927093506,-0.01,0.22,0.1,0.24
0.6621558666229248,0.0,0.26,-0.02,0.26
0.672173023223877,-0.03,0.31,0.09,0.32
0.6824009418487549,-0.02,0.29,0.1,0.3
0.6922299861907959,-0.01,0.23,0.07,0.24
0.7020738124847412,-0.02,0.17,0.03,0.17
0.7120621204376221,-0.03,0.14,0.02,0.14
0.7220289707183838,-0.04,0.11,0.05,0.12
0.731827974319458,-0.05,0.04,0.1,0.11
0.7418689727783203,-0.01,0.06,0.09,0.1
0.7516858577728271,0.02,0.0,0.09,0.09
0.7615931034088135,0.03,0.04,0.11,0.12
0.7715129852294922,0.02,0.03,0.13,0.13
0.7815167903900146,0.01,-0.02,0.12,0.12
0.791309118270874,-0.01,-0.01,0.1,0.1
0.8014380931854248,-0.02,-0.01,0.09,0.09
0.8114378452301025,-0.01,-0.01,0.05,0.05
0.8213369846343994,0.0,0.01,0.04,0.04
0.8311750888824463,0.02,0.02,0.04,0.04
0.8410789966583252,-0.01,-0.01,0.04,0.04
0.8509650230407715,-0.03,0.0,0.06,0.06
0.860893964767456,-0.02,0.0,0.06,0.06
0.8708240985870361,-0.01,-0.01,0.05,0.05
0.8807799816131592,0.01,0.01,0.06,0.06
0.8907458782196045,0.0,0.01,0.08,0.08
0.9006898403167725,0.0,0.0,0.09,0.09
0.9105570316314697,0.0,0.01,0.09,0.09
0.9204709529876709,-0.01,0.01,0.11,0.11
0.9304978847503662,-0.02,-0.03,0.12,0.12
0.9427788257598877,-0.02,0.0,0.1,0.1
0.9534609317779541,-0.01,0.0,0.08,0.08
0.9630978107452393,-0.01,0.0,0.08,0.08
0.9729268550872803,0.01,0.02,0.07,0.07
0.9829990863800049,0.0,0.01,0.08,0.08
0.9928829669952393,0.01,0.01,0.08,0.08
1.0024211406707764,0.01,0.0,0.09,0.09
1.012070894241333,-0.02,0.02,-0.13,0.13
1.0211608409881592,-0.04,-0.04,0.31,0.31
1.032296895980835,-0.06,0.04,-0.03,0.07
1.0430710315704346,-0.03,-0.02,-0.08,0.08
1.052811861038208,0.03,0.03,0.33,0.33
1.0610558986663818,-0.02,-0.05,0.21,0.21
1.0702641010284424,-0.09,0.06,-0.01,0.1
1.0822880268096924,0.07,0.04,0.06,0.1
1.1072990894317627,0.05,0.0,0.04,0.06
1.1243641376495361,0.02,0.02,0.14,0.14
1.1257951259613037,-0.03,0.04,0.09,0.1
1.1275241374969482,-0.04,0.01,0.06,0.07
1.1294100284576416,0.0,-0.04,-0.01,0.04
1.1390469074249268,0.04,0.04,0.13,0.14
1.1487219333648682,0.02,0.02,0.06,0.06
1.1586740016937256,-0.02,-0.01,0.06,0.06
1.168553113937378,0.0,0.0,0.03,0.03
1.1785471439361572,0.0,0.04,0.03,0.05
1.1906278133392334,-0.02,-0.02,0.08,0.08
1.1985249519348145,-0.01,-0.02,0.08,0.08
1.2084500789642334,-0.01,0.04,0.04,0.05
1.2203848361968994,0.03,0.04,0.08,0.09
1.2295379638671875,0.02,0.04,0.1,0.1
1.2397739887237549,-0.02,0.03,0.1,0.1
1.2512359619140625,-0.02,-0.01,0.07,0.07
1.257685899734497,-0.01,-0.04,0.07,0.08
1.2675678730010986,0.0,-0.04,0.1,0.1
1.2795169353485107,0.01,-0.02,0.1,0.1
1.2889649868011475,0.01,-0.03,0.1,0.1
1.3015048503875732,0.0,-0.02,0.09,0.09
1.307192087173462,0.0,-0.02,0.09,0.09
1.3180820941925049,-0.01,0.01,0.08,0.08
1.3300809860229492,-0.02,0.03,0.05,0.06
1.339143991470337,-0.01,0.03,0.08,0.08
1.3490378856658936,-0.02,0.02,0.12,0.12
1.3571498394012451,-0.04,0.0,0.11,0.11
1.3677771091461182,-0.06,-0.01,0.05,0.07
1.379364013671875,-0.05,0.02,0.08,0.09
1.386929988861084,-0.02,0.03,0.1,0.1
1.397244930267334,-0.03,0.04,0.07,0.08
1.407585859298706,-0.05,0.08,0.01,0.09
1.420172929763794,-0.04,0.06,0.04,0.08
1.4286909103393555,-0.02,0.08,0.08,0.11
1.4387009143829346,-0.03,0.12,0.07,0.14
1.4477450847625732,-0.01,0.1,0.06,0.11
1.456859827041626,0.0,0.11,0.1,0.14
1.470073938369751,0.04,0.17,0.06,0.18
1.4763391017913818,0.06,0.18,-0.01,0.19
1.4864590167999268,-0.02,0.14,-0.01,0.14
1.4968020915985107,-0.09,0.22,-0.03,0.23
1.5085480213165283,-0.04,0.14,0.06,0.15
1.518847942352295,-0.06,-0.06,0.09,0.12
1.5264108180999756,0.13,0.28,0.18,0.35
1.5389139652252197,0.05,0.12,0.2,0.23
1.549839973449707,-0.1,-0.05,0.11,0.15
1.5561389923095703,0.06,0.15,0.05,0.16
1.569195032119751,0.02,0.11,0.13,0.17
1.5770738124847412,0.02,0.11,0.08,0.13
1.5881969928741455,0.01,0.12,-0.02,0.12
1.598883867263794,0.04,0.13,0.06,0.14
1.6053240299224854,0.08,0.14,0.14,0.21
1.6157779693603516,0.02,0.15,0.09,0.17
1.6281750202178955,0.03,0.07,0.15,0.16
1.637403964996338,-0.04,0.14,0.01,0.14
1.6481478214263916,-0.1,0.08,-0.2,0.23
1.6551048755645752,-0.03,0.14,0.08,0.16
1.6676371097564697,0.08,0.11,0.34,0.36
1.6750638484954834,0.07,0.06,0.32,0.33
1.6868319511413574,0.07,-0.09,0.32,0.33
1.697416067123413,-0.02,0.0,0.31,0.31
1.7047908306121826,0.02,-0.03,0.2,0.2
1.7178261280059814,-0.03,-0.05,0.28,0.28
1.7248618602752686,0.02,-0.05,0.22,0.22
1.7377498149871826,-0.01,-0.08,0.25,0.26
1.7473349571228027,-0.06,-0.1,0.33,0.35
1.7548367977142334,-0.38,0.17,0.04,0.41
1.764469861984253,-0.36,0.24,-0.27,0.51
1.774918794631958,-0.05,0.45,-0.27,0.52
1.787437915802002,0.0,0.86,-0.2,0.88
1.7982089519500732,-0.06,0.94,-0.13,0.95
1.8040378093719482,-0.55,0.4,0.88,1.11
1.817553997039795,-0.2,0.46,0.48,0.69
1.824049949645996,0.22,0.67,0.21,0.73
1.8364551067352295,0.16,0.59,0.11,0.62
1.8467140197753906,0.22,0.61,0.13,0.66
1.8536999225616455,0.4,0.85,0.08,0.94
1.8670527935028076,0.47,0.84,-0.09,0.96
1.8758749961853027,0.43,0.75,0.0,0.86
1.8860371112823486,0.34,0.72,0.28,0.84
1.8965938091278076,0.05,0.42,0.43,0.6
1.903813123703003,-0.05,0.24,0.45,0.51
1.9138038158416748,-0.01,0.14,0.41,0.43
1.923949956893921,0.08,0.01,0.43,0.43
1.935513973236084,0.08,-0.13,0.57,0.59
1.9444811344146729,-0.08,-0.18,0.58,0.61
1.9534728527069092,-0.35,-0.16,-0.32,0.5
1.963379144668579,-1.16,-0.2,-3.74,3.92
1.9756748676300049,-0.02,1.39,0.87,1.63
1.9828550815582275,-0.37,-0.09,-0.85,0.93
1.9930589199066162,0.07,0.26,0.81,0.85
2.003592014312744,-1.02,-0.46,1.52,1.88
2.0157010555267334,-1.53,-0.9,1.62,2.4
2.02462100982666,0.2,-0.63,-1.62,1.74
2.035227060317993,0.45,0.11,-1.97,2.02
2.044121026992798,-0.27,0.77,1.0,1.29
2.0526669025421143,-0.07,-0.36,-0.8,0.88
2.0631349086761475,0.12,0.47,0.26,0.55
2.0757458209991455,1.2,0.7,-0.41,1.44
2.0846750736236572,1.26,0.74,-0.5,1.54
2.094324827194214,0.46,0.34,-0.19,0.6
2.1020119190216064,0.07,0.38,-0.25,0.46
2.112759828567505,0.06,0.24,-0.26,0.35
2.125221014022827,0.16,0.1,-0.46,0.49
2.1321780681610107,-0.03,0.04,-0.46,0.46
2.142608880996704,-0.22,-0.31,0.03,0.38
2.1550419330596924,-0.32,-0.26,-0.01,0.41
2.1619460582733154,-0.26,0.09,-0.2,0.34
2.174160957336426,-0.19,-0.16,-0.28,0.37
2.18375301361084,-0.3,-0.32,0.09,0.44
2.1938469409942627,-0.33,-0.26,0.43,0.6
2.2014520168304443,-0.24,-0.12,0.08,0.27
2.211825132369995,0.51,-0.13,-0.55,0.76
2.224061965942383,0.27,-0.03,0.21,0.34
2.234571933746338,-0.27,-0.3,0.19,0.44
2.2440168857574463,-0.18,-0.29,0.06,0.34
2.251373052597046,0.2,-0.21,0.19,0.34
2.2613790035247803,0.32,-0.45,0.13,0.56
2.273979902267456,0.11,-0.65,0.07,0.66
2.2847189903259277,0.13,-0.47,0.35,0.6
2.29402494430542,0.06,-0.47,0.24,0.53
2.3010470867156982,0.03,-0.57,0.24,0.61
2.3114278316497803,0.0,-0.54,0.39,0.66
2.3234119415283203,0.06,-0.5,0.15,0.52
2.332498788833618,0.11,-0.26,0.31,0.41
2.3422679901123047,0.01,-0.58,0.59,0.82
2.3503429889678955,-0.09,-0.43,0.46,0.63
2.3609049320220947,-0.06,-0.15,0.74,0.75
2.3733670711517334,-0.04,-0.17,0.89,0.9
2.380549907684326,-0.09,-0.49,0.44,0.66
